pair_id,item,anchor,variant,family,is_anchor,LS_baseline,LS_corrected,dLS,rel_dLS_pct
KWARTET__5OA__2OA-TBE,KWARTET,5OA,2OA-TBE,Ambisonics,0,0.18249035635764405,0.18108091997122416,-0.0014094363864198822,-0.7723347219826088
KWARTET__5OA__3OA-IAMF,KWARTET,5OA,3OA-IAMF,Ambisonics,0,0.13398638037404217,0.1293334549104061,-0.004652925463636076,-3.472685395819163
KWARTET__5OA__42pIKO,KWARTET,5OA,42pIKO,Ambisonics,0,0.43077608725733335,0.43065386575285747,-0.00012222150447588342,-0.028372397654206787
KWARTET__5OA__42pIKO-Atmos,KWARTET,5OA,42pIKO-Atmos,Channel/Object,0,0.17414939066034196,0.17548165810613106,0.0013322674457890982,0.7650141299589903
KWARTET__5OA__42pIKO-Auro3D,KWARTET,5OA,42pIKO-Auro3D,Channel/Object,0,0.10690714600970767,0.10803611535924261,0.0011289693495349362,1.0560279566647683
KWARTET__5OA__42pIKO-Sony360RA,KWARTET,5OA,42pIKO-Sony360RA,Channel/Object,0,0.1546729575030346,0.1571430464948908,0.0024700889918561897,1.5969753418646098
KWARTET__5OA__5OA,KWARTET,5OA,5OA,Ambisonics,1,1.0,1.0,0.0,0.0
KWARTET__5OA__7OA,KWARTET,5OA,7OA,Ambisonics,0,0.48283981342195836,0.4747590521317024,-0.008080761290255978,-1.6735905088245326
KWARTET__5OA__Atmos,KWARTET,5OA,Atmos,Channel/Object,0,0.15183503536982,0.1611142716914532,0.009279236321633216,6.111393394174185
KWARTET__5OA__Auro3D,KWARTET,5OA,Auro3D,Channel/Object,0,0.1528130384827711,0.15203541531779802,-0.0007776231649730958,-0.508872261617106
KWARTET__5OA__Sony360RA,KWARTET,5OA,Sony360RA,Channel/Object,0,0.1126032758394947,0.11174547275898433,-0.0008578030805103665,-0.7617922961078712
KWARTET__7OA__1OA-YT,KWARTET,7OA,1OA-YT,Ambisonics,0,0.09211172675414703,0.09221787527855735,0.00010614852441032108,0.11523888233431917
KWARTET__7OA__2OA-TBE,KWARTET,7OA,2OA-TBE,Ambisonics,0,0.1811147069502942,0.18151600444786065,0.00040129749756645516,0.22157090626361378
KWARTET__7OA__3OA-IAMF,KWARTET,7OA,3OA-IAMF,Ambisonics,0,0.12864381570740002,0.12065120813582002,-0.007992607571580004,-6.2129745822831985
KWARTET__7OA__42pIKO,KWARTET,7OA,42pIKO,Ambisonics,0,0.6130517145828238,0.5733439535474658,-0.039707761035358,-6.4770654890638015
KWARTET__7OA__42pIKO-Atmos,KWARTET,7OA,42pIKO-Atmos,Channel/Object,0,0.16664154342900417,0.16319032962506438,-0.0034512138039397844,-2.0710404698154616
KWARTET__7OA__42pIKO-Auro3D,KWARTET,7OA,42pIKO-Auro3D,Channel/Object,0,0.10710990301149682,0.10712031923040463,1.041621890780775e-05,0.009724795387677372
KWARTET__7OA__42pIKO-Sony360RA,KWARTET,7OA,42pIKO-Sony360RA,Channel/Object,0,0.16132008435794148,0.16093360085348102,-0.0003864835044604664,-0.23957556555879683
KWARTET__7OA__5OA,KWARTET,7OA,5OA,Ambisonics,0,0.48283981342195836,0.4747590521317024,-0.008080761290255978,-1.6735905088245326
KWARTET__7OA__7OA,KWARTET,7OA,7OA,Ambisonics,1,1.0,1.0,0.0,0.0
KWARTET__7OA__Atmos,KWARTET,7OA,Atmos,Channel/Object,0,0.15616712191682877,0.15654511292600046,0.0003779910091716854,0.24204263005691762
KWARTET__7OA__Auro3D,KWARTET,7OA,Auro3D,Channel/Object,0,0.15673737524258063,0.1562363362513588,-0.000501038991221836,-0.31966784594062764
KWARTET__7OA__Sony360RA,KWARTET,7OA,Sony360RA,Channel/Object,0,0.10921266257476084,0.10915569131195144,-5.6971262809402123e-05,-0.052165437107993595
KWARTET__Atmos__1OA-YT,KWARTET,Atmos,1OA-YT,Ambisonics,0,0.08948149049571744,0.08950606548838494,2.457499266750318e-05,0.02746377215149242
KWARTET__Atmos__2OA-TBE,KWARTET,Atmos,2OA-TBE,Ambisonics,0,0.13097623875377018,0.13271893587190153,0.0017426971181313533,1.330544482505373
KWARTET__Atmos__3OA-IAMF,KWARTET,Atmos,3OA-IAMF,Ambisonics,0,0.11788460495459532,0.10581008768471484,-0.012074517269880486,-10.242658296671674
KWARTET__Atmos__42pIKO,KWARTET,Atmos,42pIKO,Ambisonics,0,0.1624598535150501,0.1635168791400313,0.001057025624981195,0.6506380512544739
KWARTET__Atmos__42pIKO-Atmos,KWARTET,Atmos,42pIKO-Atmos,Channel/Object,0,0.23799891540368293,0.31817567632194454,0.08017676091826162,33.68786819144509
KWARTET__Atmos__42pIKO-Auro3D,KWARTET,Atmos,42pIKO-Auro3D,Channel/Object,0,0.1695991236128215,0.15956679609519314,-0.010032327517628364,-5.9153180181114635
KWARTET__Atmos__42pIKO-Sony360RA,KWARTET,Atmos,42pIKO-Sony360RA,Channel/Object,0,0.13939574860059853,0.13964352721719367,0.0002477786165951401,0.17775191789032524
KWARTET__Atmos__5OA,KWARTET,Atmos,5OA,Ambisonics,0,0.15183503536982,0.1611142716914532,0.009279236321633216,6.111393394174185
KWARTET__Atmos__7OA,KWARTET,Atmos,7OA,Ambisonics,0,0.15616712191682877,0.15654511292600046,0.0003779910091716854,0.24204263005691762
KWARTET__Atmos__Atmos,KWARTET,Atmos,Atmos,Channel/Object,1,1.0,1.0,0.0,0.0
KWARTET__Atmos__Auro3D,KWARTET,Atmos,Auro3D,Channel/Object,0,0.28240506669313814,0.21210367027679664,-0.0703013964163415,-24.893815553504616
KWARTET__Atmos__Sony360RA,KWARTET,Atmos,Sony360RA,Channel/Object,0,0.10997860297041401,0.11074035589865187,0.000761752928237866,0.6926373927870221
