pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
DeusExMachina__Atmos__7OA,DeusExMachina,Atmos,7OA,7OA ref.,Ambisonics,direct,7,0,1.81567,3.98191,1.81567,0.535095,44.4532,59.3463,60,5007.1,9.43323e-05,0.0238834,0.468,0.325660231033707,0.3288553721447636,0.10709511646933942,0.32725780158923534,0,0.0,1,1.0,3.414,0,-23.558,6.558,-2.844,60.0
DeusExMachina__Atmos__5OA,DeusExMachina,Atmos,5OA,5OA,Ambisonics,direct,5,0,1.73556,3.95321,1.73556,0.547436,44.7895,59.8745,60,5005.33,9.51508e-05,0.0241131,0.468,0.32980235997268653,0.32883728523596945,0.10845131271783419,0.329319822604328,-1,-0.0208,1,0.9959,3.388,0,-23.543,6.543,-2.672,60.0
DeusExMachina__Atmos__3OA-IAMF,DeusExMachina,Atmos,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.07389,3.8849,1.07389,0.632391,47.2271,65.1317,60,4825.76,0.000104335,0.0234878,0.468,0.2569121664096458,0.2557753368705886,0.06571179590957989,0.25634375164011725,24,0.5,1,0.8161,2.489,0,-22.329,5.329,-3.451,60.0
DeusExMachina__Atmos__2OA-TBE,DeusExMachina,Atmos,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,1.54474,3.42914,1.54474,0.775308,47.1732,59.5838,58,4424.11,9.65358e-05,0.0365622,0.4524,0.30882366955559676,0.30584879052302744,0.09445334581846236,0.3073362300393121,3568,74.3333,1,0.489,2.146,0,-21.153,4.153,-2.417,60.0
DeusExMachina__Atmos__1OA-YT,DeusExMachina,Atmos,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.42994,3.27106,1.42994,0.810691,48.1746,60.2127,54,4019.62,0.000149918,0.0348064,0.4212,0.30608121396791704,0.2915011287177269,0.08922301935093989,0.29879117134282196,103,2.1458,1,0.6926,2.179,0,-21.866,4.866,-3.892,60.0
DeusExMachina__Atmos__42pIKO,DeusExMachina,Atmos,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,3.46581,3.81235,3.46581,0.571937,40.4164,49.5793,60,4938.74,9.90215e-05,0.023823,0.417934,0.3317551004088974,0.3347695235853852,0.1110614969109082,0.3332623119971413,0,0.0,1,0.9868,3.409,0,-22.494,5.494,-2.893,60.0
DeusExMachina__Atmos__Atmos,DeusExMachina,Atmos,Atmos,Dolby Atmos,Channel/Object,direct,NA,1,0,0,0,0,715.4,725.564,100,0,0,0,0.722634,1.0,1.0,1.0,1.0,131,2.7292,1,0.598,2.565,0,-21.13,4.13,-3.15,60.0
DeusExMachina__Atmos__Auro3D,DeusExMachina,Atmos,Auro3D,Auro-3D,Channel/Object,direct,NA,0,0.89894,3.67443,0.89894,0.68041,48.6632,66.5275,54,5906.76,7.85401e-05,0.028997,0.4212,0.37315028684850804,0.4230858313238286,0.15787459932002612,0.3981180590861683,131,2.7292,1,0.7201,2.512,0,-22.117,5.117,-3.605,60.0
DeusExMachina__Atmos__Sony360RA,DeusExMachina,Atmos,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,2.8732,4.31207,2.8732,0.70577,40.6443,51.757,44,7258.2,0.00011307,0.0278148,0.3432,0.30250418180615785,0.2727404032661529,0.08250511253550913,0.28762229253615534,20,0.4167,1,0.6886,2.459,0,-26.932,9.932,-1.519,60.0
DeusExMachina__Atmos__42pIKO-Atmos,DeusExMachina,Atmos,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,0.555784,2.67213,0.555784,1.02063,54.8474,66.5611,65,4279.66,9.33215e-05,0.0223303,0.507,0.3942301257752209,0.36687344136372296,0.14463256293240861,0.38055178356947195,129,2.6875,1,0.8152,3.385,0,-21.119,4.119,-2.485,60.0
