pair_id,item,anchor,variant,segment,is_anchor,overall_measure,binQ,ILDdiff,ITDdiff,LS,LS_mean,vnsim_0,vnsim_1
BigBand__7OA__Sony360RA__seg4,BigBand,7OA,Sony360RA,4,0,0.2262,29,7320.14,6.05843e-05,0.12460971480734291,0.3532881770003298,0.3390466461530715,0.367529707847588
BigBand__7OA__42pIKO-Auro3D__seg4,BigBand,7OA,42pIKO-Auro3D,4,0,0.1638,21,7827.66,5.53349e-05,0.10703755007958941,0.3271737055836274,0.32491903360466984,0.329428377562585
KWARTET__7OA__7OA__seg4,KWARTET,7OA,7OA,4,1,0.722634,100,0,0,1.0,1.0,1.0,1.0
KWARTET__7OA__3OA-IAMF__seg4,KWARTET,7OA,3OA-IAMF,4,0,0.490589,77,2842.2,5.29049e-05,0.1327775153210178,0.3643897409196737,0.3628509210832124,0.36592856075613495
KWARTET__7OA__1OA-YT__seg4,KWARTET,7OA,1OA-YT,4,0,0.513625,79,2506.19,4.25871e-05,0.0928910097542643,0.30481507161002785,0.30020875786017087,0.3094213853598849
KWARTET__7OA__Atmos__seg4,KWARTET,7OA,Atmos,4,0,0.4056,52,5449.82,0.000124415,0.16139278793138356,0.4018917461164374,0.4130356980696475,0.39074779416322736
KWARTET__7OA__Sony360RA__seg4,KWARTET,7OA,Sony360RA,4,0,0.2496,32,7027.75,0.000162496,0.12279678138694704,0.3506672861496158,0.3375996089042333,0.3637349633949983
KWARTET__7OA__42pIKO-Auro3D__seg4,KWARTET,7OA,42pIKO-Auro3D,4,0,0.1404,18,8529.22,0.000191834,0.11778700884238008,0.34329006478705226,0.33547599164185604,0.35110413793224854
DeusExMachina__7OA__5OA__seg0,DeusExMachina,7OA,5OA,0,0,0.607116,99,165.327,6.89585e-06,0.503630201307492,0.7096693821576692,0.7090131317816992,0.7103256325336392
DeusExMachina__7OA__2OA-TBE__seg0,DeusExMachina,7OA,2OA-TBE,0,0,0.35571,74,2353.19,9.69896e-05,0.15840017238984802,0.3980353523292087,0.40368949364238166,0.39238121101603585
DeusExMachina__7OA__42pIKO__seg0,DeusExMachina,7OA,42pIKO,0,0,0.548115,94,564.184,5.11503e-05,0.6297143032266194,0.7935483890583552,0.7957261288250543,0.7913706492916562
DeusExMachina__7OA__Auro3D__seg0,DeusExMachina,7OA,Auro3D,0,0,0.429,55,4330.61,0.000123686,0.11310468908586525,0.33635130813750636,0.33110598641748973,0.3415966298575229
DeusExMachina__7OA__42pIKO-Atmos__seg0,DeusExMachina,7OA,42pIKO-Atmos,0,0,0.484198,71,2644.39,0.000123232,0.15576085366383333,0.3946740440040256,0.3972716095293212,0.39207647847872995
DeusExMachina__7OA__42pIKO-Sony360RA__seg0,DeusExMachina,7OA,42pIKO-Sony360RA,0,0,0.199882,63,3450.37,0.000116852,0.11243481287990627,0.33534590950205423,0.34004337050281735,0.33064844850129116
BigBand__7OA__5OA__seg0,BigBand,7OA,5OA,0,0,0.586262,98,293.014,5.16567e-06,0.39797083745351053,0.6308493639193361,0.6305621289625384,0.6311365988761338
BigBand__7OA__2OA-TBE__seg0,BigBand,7OA,2OA-TBE,0,0,0.39774,55,2577.36,3.89969e-05,0.18578942574461557,0.4310409944397818,0.4284117087914725,0.43367028008809105
BigBand__7OA__42pIKO__seg0,BigBand,7OA,42pIKO,0,0,0.471982,93,762.317,1.12788e-05,0.5906897189113812,0.768655899161911,0.7805795062094715,0.7567322921143504
BigBand__7OA__Auro3D__seg0,BigBand,7OA,Auro3D,0,0,0.2418,31,6538.13,7.88486e-05,0.166307256736858,0.4079207827382513,0.41751808719989886,0.39832347827660364
BigBand__7OA__42pIKO-Atmos__seg0,BigBand,7OA,42pIKO-Atmos,0,0,0.445556,76,2908.51,4.17505e-05,0.17098296366326743,0.41403002547774626,0.4349560459746253,0.3931040049808673
BigBand__7OA__42pIKO-Sony360RA__seg0,BigBand,7OA,42pIKO-Sony360RA,0,0,0.45588,77,2080.37,4.01871e-05,0.20934250188593553,0.45754413526261895,0.4555109536961566,0.4595773168290813
KWARTET__7OA__5OA__seg0,KWARTET,7OA,5OA,0,0,0.542357,97,467.153,8.98751e-06,0.4785682111644259,0.6917869483645878,0.6927722215058717,0.6908016752233038
