pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,ref_path,test_path,duration_s
KWARTET__7OA__42pIKO-Atmos,KWARTET,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Atmos.wav,60.0
KWARTET__7OA__42pIKO-Auro3D,KWARTET,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Auro3D.wav,60.0
KWARTET__7OA__42pIKO-Sony360RA,KWARTET,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Sony360RA.wav,60.0
KWARTET__5OA__7OA,KWARTET,5OA,7OA,7OA ref.,Ambisonics,direct,7,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,60.0
KWARTET__5OA__5OA,KWARTET,5OA,5OA,5OA,Ambisonics,direct,5,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,60.0
KWARTET__5OA__3OA-IAMF,KWARTET,5OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_3OA-IAMF.wav,60.0
KWARTET__5OA__2OA-TBE,KWARTET,5OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_2OA-TBE.wav,60.0
KWARTET__5OA__1OA-YT,KWARTET,5OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_1OA-YT.wav,60.0
KWARTET__5OA__42pIKO,KWARTET,5OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO.wav,60.0
KWARTET__5OA__Atmos,KWARTET,5OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,60.0
KWARTET__5OA__Auro3D,KWARTET,5OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Auro3D.wav,60.0
KWARTET__5OA__Sony360RA,KWARTET,5OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Sony360RA.wav,60.0
KWARTET__5OA__42pIKO-Atmos,KWARTET,5OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Atmos.wav,60.0
KWARTET__5OA__42pIKO-Auro3D,KWARTET,5OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Auro3D.wav,60.0
KWARTET__5OA__42pIKO-Sony360RA,KWARTET,5OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Sony360RA.wav,60.0
KWARTET__Atmos__7OA,KWARTET,Atmos,7OA,7OA ref.,Ambisonics,direct,7,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_7OA.wav,60.0
KWARTET__Atmos__5OA,KWARTET,Atmos,5OA,5OA,Ambisonics,direct,5,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_5OA.wav,60.0
KWARTET__Atmos__3OA-IAMF,KWARTET,Atmos,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_3OA-IAMF.wav,60.0
KWARTET__Atmos__2OA-TBE,KWARTET,Atmos,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_2OA-TBE.wav,60.0
KWARTET__Atmos__1OA-YT,KWARTET,Atmos,1OA-YT,1OA-YT,Ambisonics,direct,1,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_1OA-YT.wav,60.0
KWARTET__Atmos__42pIKO,KWARTET,Atmos,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO.wav,60.0
KWARTET__Atmos__Atmos,KWARTET,Atmos,Atmos,Dolby Atmos,Channel/Object,direct,NA,1,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,60.0
KWARTET__Atmos__Auro3D,KWARTET,Atmos,Auro3D,Auro-3D,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Auro3D.wav,60.0
KWARTET__Atmos__Sony360RA,KWARTET,Atmos,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Sony360RA.wav,60.0
KWARTET__Atmos__42pIKO-Atmos,KWARTET,Atmos,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Atmos.wav,60.0
KWARTET__Atmos__42pIKO-Auro3D,KWARTET,Atmos,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Auro3D.wav,60.0
KWARTET__Atmos__42pIKO-Sony360RA,KWARTET,Atmos,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_Atmos.wav,/Users/bart/Downloads/benchmarking_renders_reviews/prep_60s/KWARTET/KWARTET_42pIKO-Sony360RA.wav,60.0
