pair_id,item,anchor,variant,label,family,chain,ambisonic_order,is_anchor,SNR_dc,SNR_ac,SNR_dc_fix,SNR_ac_fix,OPM,OPM_fix,binQ,ILDdiff,ITDdiff,IVSdiff,overall_measure,vnsim_0,vnsim_1,LS,LS_mean,lag_samples,lag_ms,polarity,gcc_corr,gcc_peak_ratio,residual_lag_samples,lufs_before,gain_db,true_peak_dbtp_after,analysed_duration_s
KWARTET__7OA__3OA-IAMF,KWARTET,7OA,3OA-IAMF,3OA-IAMF,Ambisonics,direct,3,0,1.80222,2.18842,1.80222,1.3683,51.0825,53.945,80,2494.69,5.58997e-05,0.0165588,0.454585,0.22963326053918823,0.22087404794857368,0.05072002779891997,0.22525365424388094,27,0.5625,1,0.7769,2.105,0,-22.74,5.74,-0.271,60.0
KWARTET__7OA__2OA-TBE,KWARTET,7OA,2OA-TBE,2OA-TBE,Ambisonics,direct,2,0,1.89494,9.49981,1.89494,2.29376e-07,32.4598,63.2383,57,3453.84,6.79451e-05,0.0537387,0.4446,0.21880309779033333,0.21901890725066916,0.04792201538110011,0.21891100252050125,3569,74.3542,1,0.8583,2.823,0,-18.553,1.553,-0.611,60.0
KWARTET__7OA__1OA-YT,KWARTET,7OA,1OA-YT,1OA-YT,Ambisonics,direct,1,0,1.26376,2.94219,1.26376,0.985612,50.1497,60.1424,76,2778.05,4.88157e-05,0.0218983,0.501815,0.23238705444145308,0.23349556390908366,0.05426134632197801,0.23294130917526837,55,1.1458,-1,0.7347,1.381,0,-23.183,6.183,0.219,60.0
KWARTET__7OA__42pIKO,KWARTET,7OA,42pIKO,42pIKO,Ambisonics,42pIKO,NA,0,1.53851,0.990298,1.53851,0.879615,59.1798,58.8362,92,791.539,2.0589e-05,0.0094462,0.492279,0.7678647896651657,0.7983849797959228,0.6130517145828238,0.7831248847305443,0,0.0,1,0.9946,3.092,0,-23.5,6.5,-0.266,60.0
KWARTET__7OA__Atmos,KWARTET,7OA,Atmos,Dolby Atmos,Channel/Object,direct,NA,0,1.36576,3.50672,1.36576,1.01871,47.5388,59.0893,56,5110.12,0.000110026,0.0276187,0.4368,0.23098180536084822,0.22823840836133638,0.05271891961598799,0.2296101068610923,131,2.7292,1,0.8871,3.286,0,-21.995,4.995,0.267,60.0
KWARTET__7OA__Auro3D,KWARTET,7OA,Auro3D,Auro-3D,Channel/Object,direct,NA,0,1.10769,3.27418,1.10769,1.06042,49.4225,60.8068,30,6050.25,0.000123364,0.0839306,0.234,0.22426244119669494,0.22773126329067508,0.051071569042374074,0.22599685224368501,131,2.7292,1,0.941,2.8,0,-19.973,2.973,-0.487,60.0
KWARTET__7OA__Sony360RA,KWARTET,7OA,Sony360RA,Sony 360RA,Channel/Object,direct,NA,0,3.34611,4.32042,3.34611,1.1917,39.4937,47.4712,34,6390.58,0.00012771,0.0634132,0.2652,0.25104113497194686,0.25693294788042254,0.06450073884758933,0.25398704142618467,19,0.3958,1,0.8887,2.865,0,-26.158,9.158,0.145,60.0
KWARTET__7OA__42pIKO-Atmos,KWARTET,7OA,42pIKO-Atmos,42pIKO->Atmos,Channel/Object,42pIKO,NA,0,1.66887,3.02348,1.66887,1.07249,48.2074,56.571,65,4656,6.55715e-05,0.021968,0.475228,0.23561852864417615,0.2358790707172011,0.0555774795803425,0.23574879968068863,130,2.7083,1,0.9349,2.765,0,-18.893,1.893,-0.069,60.0
KWARTET__7OA__42pIKO-Auro3D,KWARTET,7OA,42pIKO-Auro3D,42pIKO->Auro-3D,Channel/Object,42pIKO,NA,0,8.66272,13.0098,8.66272,4.23501e-14,21.0488,35.7968,24,7496.97,0.000132735,0.0754982,0.1872,0.21369847540523637,0.21280011398523324,0.04547505992470486,0.2132492946952348,-24477,-509.9375,1,0.8625,2.907,0,-21.707,4.707,-2.348,60.0
KWARTET__7OA__42pIKO-Sony360RA,KWARTET,7OA,42pIKO-Sony360RA,42pIKO->Sony 360RA,Channel/Object,42pIKO,NA,0,2.79134,2.79186,2.79134,1.53565,45.122,48.3302,61,3554.36,8.36612e-05,0.0427152,0.406852,0.24897841947518293,0.2537105063494478,0.06316844087513387,0.2513444629123154,17,0.3542,1,0.8927,2.935,0,-24.932,7.932,-1.328,60.0
